,Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value,Origin Firm,Origin Firm Profit,Origin output,#trading partners,destination Firm,destination Firm Profit,destination output,distance between origin and destination,colonised(1/0),common_lang(1/0),hsbc presence in destination,gdp of source,Percet Import,Y
326,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",44,Bahamas,HS,Harmonized System,62,"Articles of apparel and clothing accessories, not knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,59.6670195,"Articles of apparel and clothing accessories, not knitted or crocheted - Hong Kong, China- Ltd.",22492.34521,149948.9681,10,"Articles of apparel and clothing accessories, not knitted or crocheted - Bahamas- Ltd.",8.950052925,59.6670195,14595,0,0,0,12162100000,100,0
327,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",44,Bahamas,HS,Harmonized System,71,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",A,Annual,A,Annual,USD,US$,2017,,,,532698.8099,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin - Hong Kong, China- Ltd.",973813.1436,6492087.624,6,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin - Bahamas- Ltd.",79904.82149,532698.8099,14595,0,0,0,12162100000,100,0
328,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",44,Bahamas,HS,Harmonized System,74,Copper and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,328355.6924,"Copper and articles thereof - Hong Kong, China- Ltd.",340878.6608,2272524.405,3,Copper and articles thereof - Bahamas- Ltd.,49253.35386,328355.6924,14595,0,0,0,12162100000,100,0
329,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",44,Bahamas,HS,Harmonized System,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",A,Annual,A,Annual,USD,US$,2017,,,,65279.18391,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Hong Kong, China- Ltd.",274620.7477,1830804.985,21,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Bahamas- Ltd.",9791.877587,65279.18391,14595,0,0,0,12162100000,100,0
330,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,40525.19809,"Fish and crustaceans, molluscs and other aquatic invertebrates - Hong Kong, China- Ltd.",5143978.83,34293192.2,11,"Fish and crustaceans, molluscs and other aquatic invertebrates - Bahrain, Kingdom of- Ltd.",6078.779714,40525.19809,6398,0,0,1,35432686170,100,1
331,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",A,Annual,A,Annual,USD,US$,2017,,,,3290.796523,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included - Hong Kong, China- Ltd.",9624813.231,64165421.54,8,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included - Bahrain, Kingdom of- Ltd.",493.6194785,3290.796523,6398,0,0,1,35432686170,100,1
332,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",A,Annual,A,Annual,USD,US$,2017,,,,8340.551118,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations - Hong Kong, China- Ltd.",3751000.645,25006670.97,12,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations - Bahrain, Kingdom of- Ltd.",1251.082668,8340.551118,6398,0,0,1,35432686170,100,1
333,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,34,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes",A,Annual,A,Annual,USD,US$,2017,,,,130991.5632,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes - Hong Kong, China- Ltd.",5575950.531,37173003.54,12,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes - Bahrain, Kingdom of- Ltd.",19648.73448,130991.5632,6398,0,0,1,35432686170,100,1
334,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,39,Plastics and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,369938.2158,"Plastics and articles thereof - Hong Kong, China- Ltd.",21948365.3,146322435.3,29,"Plastics and articles thereof - Bahrain, Kingdom of- Ltd.",55490.73237,369938.2158,6398,0,0,1,35432686170,100,1
335,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,41,Raw hides and skins (other than furskins) and leather,A,Annual,A,Annual,USD,US$,2017,,,,7247.425657,"Raw hides and skins (other than furskins) and leather - Hong Kong, China- Ltd.",1146.106583,7640.71055,2,"Raw hides and skins (other than furskins) and leather - Bahrain, Kingdom of- Ltd.",1087.113849,7247.425657,6398,0,0,1,35432686170,100,1
336,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,44,Wood and articles of wood; wood charcoal,A,Annual,A,Annual,USD,US$,2017,,,,1838.642415,"Wood and articles of wood; wood charcoal - Hong Kong, China- Ltd.",1882313.065,12548753.77,13,"Wood and articles of wood; wood charcoal - Bahrain, Kingdom of- Ltd.",275.7963622,1838.642415,6398,0,0,1,35432686170,100,1
337,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",A,Annual,A,Annual,USD,US$,2017,,,,5697.237994,"Paper and paperboard; articles of paper pulp, of paper or of paperboard - Hong Kong, China- Ltd.",10036165.76,66907771.73,16,"Paper and paperboard; articles of paper pulp, of paper or of paperboard - Bahrain, Kingdom of- Ltd.",854.5856991,5697.237994,6398,0,0,1,35432686170,100,1
338,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,52,Cotton,A,Annual,A,Annual,USD,US$,2017,,,,9452611.427,"Cotton - Hong Kong, China- Ltd.",3774828.422,25165522.81,15,"Cotton - Bahrain, Kingdom of- Ltd.",1417891.714,9452611.427,6398,0,0,1,35432686170,100,1
339,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,54,Manmade filaments,A,Annual,A,Annual,USD,US$,2017,,,,52019.37574,"Manmade filaments - Hong Kong, China- Ltd.",142820.5683,952137.122,6,"Manmade filaments - Bahrain, Kingdom of- Ltd.",7802.906361,52019.37574,6398,0,0,1,35432686170,100,1
340,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,55,Manmade staple fibres,A,Annual,A,Annual,USD,US$,2017,,,,44598.85157,"Manmade staple fibres - Hong Kong, China- Ltd.",21741.47162,144943.1441,5,"Manmade staple fibres - Bahrain, Kingdom of- Ltd.",6689.827736,44598.85157,6398,0,0,1,35432686170,100,1
341,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,A,Annual,A,Annual,USD,US$,2017,,,,317.9674719,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery - Hong Kong, China- Ltd.",864.8187015,5765.45801,4,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery - Bahrain, Kingdom of- Ltd.",47.69512078,317.9674719,6398,0,0,1,35432686170,100,1
342,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",A,Annual,A,Annual,USD,US$,2017,,,,2499.085747,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use - Hong Kong, China- Ltd.",38084.20387,253894.6925,3,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use - Bahrain, Kingdom of- Ltd.",374.8628621,2499.085747,6398,0,0,1,35432686170,100,1
343,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,61,"Articles of apparel and clothing accessories, knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,77749.84762,"Articles of apparel and clothing accessories, knitted or crocheted - Hong Kong, China- Ltd.",154373.8976,1029159.317,16,"Articles of apparel and clothing accessories, knitted or crocheted - Bahrain, Kingdom of- Ltd.",11662.47714,77749.84762,6398,0,0,1,35432686170,100,1
344,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,62,"Articles of apparel and clothing accessories, not knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,131799.6985,"Articles of apparel and clothing accessories, not knitted or crocheted - Hong Kong, China- Ltd.",312724.6768,2084831.179,22,"Articles of apparel and clothing accessories, not knitted or crocheted - Bahrain, Kingdom of- Ltd.",19769.95478,131799.6985,6398,0,0,1,35432686170,100,1
345,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags,A,Annual,A,Annual,USD,US$,2017,,,,26670.00289,"Other made up textile articles; sets; worn clothing and worn textile articles; rags - Hong Kong, China- Ltd.",12754731.76,85031545.04,22,"Other made up textile articles; sets; worn clothing and worn textile articles; rags - Bahrain, Kingdom of- Ltd.",4000.500434,26670.00289,6398,0,0,1,35432686170,100,1
346,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,71,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",A,Annual,A,Annual,USD,US$,2017,,,,102243.3516,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin - Hong Kong, China- Ltd.",14379068.6,95860457.33,10,"Natural or cultured pearls, precious or semiprecious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin - Bahrain, Kingdom of- Ltd.",15336.50274,102243.3516,6398,0,0,1,35432686170,100,1
347,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,73,Articles of iron or steel,A,Annual,A,Annual,USD,US$,2017,,,,2066.788567,"Articles of iron or steel - Hong Kong, China- Ltd.",33008779.31,220058528.7,18,"Articles of iron or steel - Bahrain, Kingdom of- Ltd.",310.0182851,2066.788567,6398,0,0,1,35432686170,100,1
348,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,76,Aluminium and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,312596.7985,"Aluminium and articles thereof - Hong Kong, China- Ltd.",253142768,1687618453,27,"Aluminium and articles thereof - Bahrain, Kingdom of- Ltd.",46889.51978,312596.7985,6398,0,0,1,35432686170,100,1
349,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",A,Annual,A,Annual,USD,US$,2017,,,,3281.044494,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal - Hong Kong, China- Ltd.",37944.03739,252960.2492,14,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal - Bahrain, Kingdom of- Ltd.",492.1566741,3281.044494,6398,0,0,1,35432686170,100,1
350,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",A,Annual,A,Annual,USD,US$,2017,,,,10861.57893,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof - Hong Kong, China- Ltd.",18792349.62,125282330.8,22,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof - Bahrain, Kingdom of- Ltd.",1629.23684,10861.57893,6398,0,0,1,35432686170,100,1
351,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",A,Annual,A,Annual,USD,US$,2017,,,,274523.7225,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Hong Kong, China- Ltd.",1630369.248,10869128.32,22,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles - Bahrain, Kingdom of- Ltd.",41178.55838,274523.7225,6398,0,0,1,35432686170,100,1
352,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",A,Annual,A,Annual,USD,US$,2017,,,,117318.192,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof - Hong Kong, China- Ltd.",3682783.18,24551887.87,14,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof - Bahrain, Kingdom of- Ltd.",17597.7288,117318.192,6398,0,0,1,35432686170,100,1
353,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",48,"Bahrain, Kingdom of",HS,Harmonized System,91,Clocks and watches and parts thereof,A,Annual,A,Annual,USD,US$,2017,,,,1464277.676,"Clocks and watches and parts thereof - Hong Kong, China- Ltd.",1265634.113,8437560.756,11,"Clocks and watches and parts thereof - Bahrain, Kingdom of- Ltd.",219641.6514,1464277.676,6398,0,0,1,35432686170,100,1
354,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,6654484.073,"Fish and crustaceans, molluscs and other aquatic invertebrates - Hong Kong, China- Ltd.",79953479.76,533023198.4,23,"Fish and crustaceans, molluscs and other aquatic invertebrates - Bangladesh- Ltd.",998172.611,6654484.073,2438,1,0,1,2.50E+11,100,1
355,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,7,Edible vegetables and certain roots and tubers,A,Annual,A,Annual,USD,US$,2017,,,,1963.237417,"Edible vegetables and certain roots and tubers - Hong Kong, China- Ltd.",4817680.349,32117869,15,Edible vegetables and certain roots and tubers - Bangladesh- Ltd.,294.4856126,1963.237417,2438,1,0,1,2.50E+11,100,1
356,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,8,Edible fruit and nuts; peel of citrus fruit or melons,A,Annual,A,Annual,USD,US$,2017,,,,4965.83582,"Edible fruit and nuts; peel of citrus fruit or melons - Hong Kong, China- Ltd.",3446656.243,22977708.29,14,Edible fruit and nuts; peel of citrus fruit or melons - Bangladesh- Ltd.,744.875373,4965.83582,2438,1,0,1,2.50E+11,100,1
357,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,9,"Coffee, tea, mate and spices",A,Annual,A,Annual,USD,US$,2017,,,,47469.02768,"Coffee, tea, mate and spices - Hong Kong, China- Ltd.",2429273.215,16195154.77,17,"Coffee, tea, mate and spices - Bangladesh- Ltd.",7120.354152,47469.02768,2438,1,0,1,2.50E+11,100,1
358,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,10,Cereals,A,Annual,A,Annual,USD,US$,2017,,,,138942.5464,"Cereals - Hong Kong, China- Ltd.",1020973.175,6806487.836,16,Cereals - Bangladesh- Ltd.,20841.38196,138942.5464,2438,1,0,1,2.50E+11,100,1
359,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",A,Annual,A,Annual,USD,US$,2017,,,,10641.13175,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder - Hong Kong, China- Ltd.",1079016.939,7193446.257,15,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder - Bangladesh- Ltd.",1596.169763,10641.13175,2438,1,0,1,2.50E+11,100,1
360,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2017,,,,631443.8777,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates - Hong Kong, China- Ltd.",1571534.53,10476896.87,11,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates - Bangladesh- Ltd.",94716.58166,631443.8777,2438,1,0,1,2.50E+11,100,1
361,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,17,Sugars and sugar confectionery,A,Annual,A,Annual,USD,US$,2017,,,,1537.227729,"Sugars and sugar confectionery - Hong Kong, China- Ltd.",287718.0994,1918120.663,16,Sugars and sugar confectionery - Bangladesh- Ltd.,230.5841594,1537.227729,2438,1,0,1,2.50E+11,100,1
362,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",A,Annual,A,Annual,USD,US$,2017,,,,59972.79697,"Preparations of cereals, flour, starch or milk; pastrycooks' products - Hong Kong, China- Ltd.",4446556.891,29643712.61,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products - Bangladesh- Ltd.",8995.919546,59972.79697,2438,1,0,1,2.50E+11,100,1
363,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,20,"Preparations of vegetables, fruit, nuts or other parts of plants",A,Annual,A,Annual,USD,US$,2017,,,,10428.25522,"Preparations of vegetables, fruit, nuts or other parts of plants - Hong Kong, China- Ltd.",1800343.548,12002290.32,23,"Preparations of vegetables, fruit, nuts or other parts of plants - Bangladesh- Ltd.",1564.238283,10428.25522,2438,1,0,1,2.50E+11,100,1
364,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,30,Pharmaceutical products,A,Annual,A,Annual,USD,US$,2017,,,,861568.5369,"Pharmaceutical products - Hong Kong, China- Ltd.",6025800.189,40172001.26,34,Pharmaceutical products - Bangladesh- Ltd.,129235.2805,861568.5369,2438,1,0,1,2.50E+11,100,1
365,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",A,Annual,A,Annual,USD,US$,2017,,,,13812.08097,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations - Hong Kong, China- Ltd.",129939.6655,866264.4369,22,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations - Bangladesh- Ltd.",2071.812145,13812.08097,2438,1,0,1,2.50E+11,100,1
366,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,34,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes",A,Annual,A,Annual,USD,US$,2017,,,,73.9101145,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes - Hong Kong, China- Ltd.",15545.0507,103633.6713,17,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes - Bangladesh- Ltd.",11.08651718,73.9101145,2438,1,0,1,2.50E+11,100,1
367,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,39,Plastics and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,569965.2905,"Plastics and articles thereof - Hong Kong, China- Ltd.",11547020.37,76980135.78,38,Plastics and articles thereof - Bangladesh- Ltd.,85494.79358,569965.2905,2438,1,0,1,2.50E+11,100,1
368,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,41,Raw hides and skins (other than furskins) and leather,A,Annual,A,Annual,USD,US$,2017,,,,33183562.31,"Raw hides and skins (other than furskins) and leather - Hong Kong, China- Ltd.",20774278.82,138495192.2,19,Raw hides and skins (other than furskins) and leather - Bangladesh- Ltd.,4977534.347,33183562.31,2438,1,0,1,2.50E+11,100,1
369,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",A,Annual,A,Annual,USD,US$,2017,,,,2798266.32,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Hong Kong, China- Ltd.",33521055.92,223473706.2,41,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Bangladesh- Ltd.",419739.948,2798266.32,2438,1,0,1,2.50E+11,100,1
370,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,44,Wood and articles of wood; wood charcoal,A,Annual,A,Annual,USD,US$,2017,,,,26007.12155,"Wood and articles of wood; wood charcoal - Hong Kong, China- Ltd.",794671.3002,5297808.668,22,Wood and articles of wood; wood charcoal - Bangladesh- Ltd.,3901.068233,26007.12155,2438,1,0,1,2.50E+11,100,1
371,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",A,Annual,A,Annual,USD,US$,2017,,,,10548.48747,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork - Hong Kong, China- Ltd.",1817286.592,12115243.95,35,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork - Bangladesh- Ltd.",1582.273121,10548.48747,2438,1,0,1,2.50E+11,100,1
372,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",50,Bangladesh,HS,Harmonized System,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",A,Annual,A,Annual,USD,US$,2017,,,,86379.49508,"Paper and paperboard; articles of paper pulp, of paper or of paperboard - Hong Kong, China- Ltd.",599115.4835,3994103.223,28,"Paper and paperboard; articles of paper pulp, of paper or of paperboard - Bangladesh- Ltd.",12956.92426,86379.49508,2438,1,0,1,2.50E+11,100,1
